hotel_id,hotel_name,city,country,star_rating,room_type,price_per_night_aud
INT-HT-00078,Motel 6 Brisbane,Brisbane,Australia,2,Economy,80
INT-HT-00079,Mandarin Oriental Berlin,Berlin,Germany,5,Deluxe Suite,740
INT-HT-00080,Westin Dubai,Dubai,UAE,4,Deluxe,350
INT-HT-00081,Hyatt Singapore,Singapore,Singapore,4,Suite,230
INT-HT-00082,Ibis London,London,UK,3,Superior,140
INT-HT-00083,Mercure New York,New York,USA,3,Superior,160
INT-HT-00084,Motel 6 Sydney,Sydney,Australia,2,Standard,70
INT-HT-00085,Ritz-Carlton Bangkok,Bangkok,Thailand,5,Suite,780
INT-HT-00086,Hilton Barcelona,Barcelona,Spain,4,Deluxe,350
INT-HT-00087,Sofitel Rome,Rome,Italy,4,Deluxe,270
INT-HT-00088,Mercure Amsterdam,Amsterdam,Netherlands,3,Deluxe,120
INT-HT-00089,Comfort Inn Seoul,Seoul,South Korea,3,Deluxe,120
INT-HT-00090,OYO Bali,Bali,Indonesia,2,Economy,50
INT-HT-00091,Mandarin Oriental Cape Town,Cape Town,South Africa,5,Presidential Suite,790
INT-HT-00092,InterContinental Kyoto,Kyoto,Japan,4,Superior,340
INT-HT-00093,Westin Vienna,Vienna,Austria,4,Suite,320
INT-HT-00094,Comfort Inn Istanbul,Istanbul,Turkey,3,Superior,130
INT-HT-00095,Comfort Inn Lisbon,Lisbon,Portugal,3,Superior,120
INT-HT-00096,Motel 6 Prague,Prague,Czech Republic,2,Standard,60
INT-HT-00097,St. Regis Maldives,Maldives,Maldives,5,Deluxe Suite,810
INT-HT-00098,Sofitel Zurich,Zurich,Switzerland,4,Junior Suite,270
INT-HT-00099,InterContinental Los Angeles,Los Angeles,USA,4,Suite,240
INT-HT-00100,Holiday Inn Toronto,Toronto,Canada,3,Superior,150
INT-HT-00101,Novotel Tokyo,Tokyo,Japan,3,Superior,160
INT-HT-00102,Premier Inn Paris,Paris,France,2,Standard,70
INT-HT-00103,Ritz-Carlton Brisbane,Brisbane,Australia,5,Suite,590
INT-HT-00104,InterContinental Berlin,Berlin,Germany,4,Junior Suite,310
INT-HT-00105,Hyatt Dubai,Dubai,UAE,4,Junior Suite,330
INT-HT-00106,Mercure Singapore,Singapore,Singapore,3,Superior,150
INT-HT-00107,Ibis London,London,UK,3,Superior,110
INT-HT-00108,Motel 6 New York,New York,USA,2,Economy,80
INT-HT-00109,Mandarin Oriental Sydney,Sydney,Australia,5,Presidential Suite,720
INT-HT-00110,Hilton Bangkok,Bangkok,Thailand,4,Junior Suite,390
INT-HT-00111,Sofitel Barcelona,Barcelona,Spain,4,Suite,270
INT-HT-00112,Mercure Rome,Rome,Italy,3,Superior,110
INT-HT-00113,Holiday Inn Amsterdam,Amsterdam,Netherlands,3,Standard,150
INT-HT-00114,Premier Inn Seoul,Seoul,South Korea,2,Standard,80
INT-HT-00115,Ritz-Carlton Bali,Bali,Indonesia,5,Deluxe Suite,580
INT-HT-00116,InterContinental Cape Town,Cape Town,South Africa,4,Suite,340
INT-HT-00117,Sofitel Kyoto,Kyoto,Japan,4,Suite,390
INT-HT-00118,Holiday Inn Vienna,Vienna,Austria,3,Superior,110
INT-HT-00119,Holiday Inn Istanbul,Istanbul,Turkey,3,Superior,90
INT-HT-00120,EasyHotel Lisbon,Lisbon,Portugal,2,Standard,60
