activity_id,activity_name,city,country,address,category,vibe,best_season,price_aud,rating,suitable_for,duration_hours,description
INT-AC-00041,Wine & Cheese Tasting,Cape Town,South Africa,"76 Street Food Alley, Sea Point, Cape Town, South Africa",Food,Scenic; Adventurous; Diverse,Summer; Autumn,115,4.7,Group,2 hrs,"Curated tasting of local and imported wines paired with artisan cheeses, hosted in a cellar setting with a certified sommelier."
INT-AC-00042,Local Market Food Experience,Kyoto,Japan,"15 Night Bazaar, Gion, Kyoto, Japan",Food,Serene; Traditional; Cultural,Spring; Autumn,45,5.0,Solo,4 hrs,"Navigate a vibrant local produce market with a chef guide, sampling seasonal specialities and learning the stories behind each ingredient."
INT-AC-00043,Craft Beer & Brewery Tour,Vienna,Austria,"48 Market Lane, Naschmarkt, Vienna, Austria",Food,Imperial; Musical; Café culture,Spring; Summer,60,4.6,Group,2 hrs,"A highly rated local experience offering an authentic taste of the destination's culture, cuisine, and character."
INT-AC-00044,Farm-to-Table Dinner Experience,Istanbul,Turkey,"146 Market Lane, Kadıköy, Istanbul, Turkey",Food,Historic; Exotic; East-meets-West,Spring; Autumn,100,4.6,Couple,3 hrs,"A highly rated local experience offering an authentic taste of the destination's culture, cuisine, and character."
INT-AC-00045,Lisbon History Walking Tour,Lisbon,Portugal,"169 Cultural Precinct, Alfama, Lisbon, Portugal",Culture,Soulful; Coastal; Affordable,Spring; Summer; Autumn,50,4.6,Solo,2 hrs,"A highly rated local experience offering an authentic taste of the destination's culture, cuisine, and character."
INT-AC-00046,Museum Skip-the-Line Tour,Prague,Czech Republic,"172 Museum District, Malá Strana, Prague, Czech Republic",Culture,Fairy-tale; Beer culture; Gothic,Spring; Summer,75,4.6,Couple,3 hrs,"Fast-track entry and an in-depth guided tour of the city's premier museum, covering highlights and hidden gems in under three hours."
INT-AC-00047,Maldives Art Gallery Visit,Maldives,Maldives,"118 Old Town, Baa Atoll, Maldives, Maldives",Culture,Luxury; Tropical; Remote,Spring; Winter,45,4.2,Couple,2 hrs,"A highly rated local experience offering an authentic taste of the destination's culture, cuisine, and character."
INT-AC-00048,Ancient Temple Morning Walk,Zurich,Switzerland,"160 Cultural Precinct, Altstadt, Zurich, Switzerland",Culture,Clean; Alpine; Upscale,Summer; Autumn,50,4.9,Solo,2 hrs,"Early-morning visit to a UNESCO-listed temple complex at sunrise, experiencing rituals and peaceful courtyards before tourist crowds arrive."
INT-AC-00049,Old Town Architecture Tour,Los Angeles,USA,"34 Old Town, Santa Monica, Los Angeles, USA",Culture,Sunny; Creative; Beach,Spring; Summer; Autumn,75,5.0,Group,2 hrs,A 90-minute walking tour tracing the city's architectural evolution from medieval lanes to baroque facades and modernist interventions.
INT-AC-00050,Cultural Dance Show,Toronto,Canada,"41 Old Town, CN Tower, Toronto, Canada",Culture,Multicultural; Friendly; Urban,Summer; Autumn,100,4.9,Couple,3 hrs,"An evening performance showcasing traditional folk dances, live music, and costume, followed by a meet-the-artists session backstage."
INT-AC-00051,Traditional Craft Workshop,Tokyo,Japan,"170 Old Town, Shinjuku, Tokyo, Japan",Culture,Bustling; Modern; Traditional,Spring; Autumn,120,4.8,Couple,2 hrs,"A two-hour hands-on session learning a regional craft — ceramics, weaving, or bookbinding — guided by a master artisan."
INT-AC-00052,Photography City Tour,Paris,France,"28 Heritage Square, Le Marais, Paris, France",Culture,Romantic; Artistic; Chic,Spring; Summer; Autumn,55,4.9,Solo,3 hrs,"A guided photo walk through the city's most photogenic corners, with tips on composition, light, and storytelling from a professional photographer."
INT-AC-00053,Street Art & Graffiti Tour,Brisbane,Australia,"53 Old Town, CBD, Brisbane, Australia",Culture,Outdoorsy; Relaxed; Sunny,Spring; Autumn; Winter,70,4.2,Solo,2 hrs,"A highly rated local experience offering an authentic taste of the destination's culture, cuisine, and character."
INT-AC-00054,Local Neighbourhood Walk,Berlin,Germany,"163 Heritage Square, Mitte, Berlin, Germany",Culture,Edgy; Creative; Historic,Spring; Summer,40,4.5,Group,2 hrs,"A highly rated local experience offering an authentic taste of the destination's culture, cuisine, and character."
INT-AC-00055,Dubai Bike Tour,Dubai,UAE,"198 National Park Gate, Marina, Dubai, UAE",Adventure,Luxurious; Futuristic; Vibrant,Spring; Winter,65,4.8,Solo,3 hrs,"A highly rated local experience offering an authentic taste of the destination's culture, cuisine, and character."
INT-AC-00056,River Kayaking Experience,Singapore,Singapore,"142 Outdoor Centre, Orchard, Singapore, Singapore",Adventure,Modern; Multicultural; Clean,Spring; Summer; Autumn; Winter,85,4.6,Solo,4 hrs,"Paddle through scenic river gorges with an experienced instructor — safety gear, refreshments, and transport included."
INT-AC-00057,Sunset Sailing Cruise,London,UK,"177 Adventure Hub, Covent Garden, London, UK",Adventure,Historic; Cosmopolitan; Eclectic,Spring; Summer,170,4.4,Couple,3 hrs,"A two-hour sunset cruise aboard a traditional sailing vessel, with canapés, local wine, and panoramic views of the city skyline."
INT-AC-00058,Jungle Trekking Adventure,New York,USA,"33 Outdoor Centre, Brooklyn, New York, USA",Adventure,Fast-paced; Iconic; Diverse,Spring; Autumn,80,4.5,Solo,4 hrs,"Half-day guided trek through primary rainforest, spotting endemic wildlife and crossing rope bridges, concluding with a riverside picnic."
INT-AC-00059,Desert Safari Experience,Sydney,Australia,"175 Wharf, Manly, Sydney, Australia",Adventure,Beach; Outdoorsy; Vibrant,Spring; Summer; Autumn,205,4.3,Group,5 hrs,"Dune-bashing by 4WD followed by a Bedouin-style camp dinner under the stars, with camel rides, henna, and live music included."
INT-AC-00060,Rock Climbing Bangkok,Bangkok,Thailand,"61 Wharf, Sukhumvit, Bangkok, Thailand",Adventure,Lively; Spiritual; Street food,Spring; Winter,85,4.7,Group,6 hrs,"A highly rated local experience offering an authentic taste of the destination's culture, cuisine, and character."
INT-AC-00061,Scuba Diving Lesson,Barcelona,Spain,"46 Adventure Hub, Eixample, Barcelona, Spain",Adventure,Artistic; Beach; Festive,Spring; Summer,110,5.0,Couple,6 hrs,"PADI-certified introductory dive in crystal-clear coastal waters, covering basic techniques in a confined pool before an open-water experience."
INT-AC-00062,Hot Air Balloon Ride,Rome,Italy,"41 National Park Gate, Campo de Fiori, Rome, Italy",Adventure,Historic; Romantic; Culinary,Spring; Autumn,440,4.9,Group,4 hrs,"Float over the city at dawn in a private basket, watching the landscape emerge in golden light with a champagne breakfast on landing."
INT-AC-00063,Zip Line Forest Canopy,Amsterdam,Netherlands,"52 Wharf, Jordaan, Amsterdam, Netherlands",Adventure,Liberal; Charming; Cycling-friendly,Spring; Summer,80,4.4,Group,6 hrs,"Fly through the forest canopy on a multi-line zip circuit up to 200 m long, with safety briefing, harness fitting, and photos included."
INT-AC-00064,Stand-Up Paddleboard Tour,Seoul,South Korea,"169 Adventure Hub, Hongdae, Seoul, South Korea",Adventure,Trendy; K-pop; Foodie,Spring; Autumn,75,4.3,Solo,4 hrs,"Guided SUP tour along calm coastal or river waterways, exploring hidden coves and sea caves only accessible from the water."
INT-AC-00065,Coastal Cliff Walk,Bali,Indonesia,"90 National Park Gate, Canggu, Bali, Indonesia",Adventure,Spiritual; Tropical; Bohemian,Spring; Summer; Autumn,40,4.4,Group,3 hrs,"A highly rated local experience offering an authentic taste of the destination's culture, cuisine, and character."
INT-AC-00066,Night Kayaking Tour,Cape Town,South Africa,"67 Adventure Hub, V&A Waterfront, Cape Town, South Africa",Adventure,Scenic; Adventurous; Diverse,Summer; Autumn,140,4.4,Couple,3 hrs,"A highly rated local experience offering an authentic taste of the destination's culture, cuisine, and character."
INT-AC-00067,Harbour Sunset Cruise,Kyoto,Japan,"153 Wellness Centre, Arashiyama, Kyoto, Japan",Relaxation,Serene; Traditional; Cultural,Spring; Autumn,75,4.6,Group,3 hrs,"A scenic evening cruise around the harbour with cocktails, local cheese, and a live acoustic duo as the city lights come on."
INT-AC-00068,Spa & Wellness Half Day,Vienna,Austria,"99 Wellness Centre, Prater, Vienna, Austria",Relaxation,Imperial; Musical; Café culture,Spring; Summer,135,4.3,Solo,4 hrs,"Four hours of treatments including a traditional massage, thermal pools, and a skin ritual using locally sourced botanicals."
INT-AC-00069,Rooftop Bar Sunset Experience,Istanbul,Turkey,"1 Sky Lounge, Sultanahmet, Istanbul, Turkey",Relaxation,Historic; Exotic; East-meets-West,Spring; Autumn,75,4.2,Couple,5 hrs,"Reserved rooftop terrace access during golden hour, with a curated cocktail menu and 360-degree views over the city's skyline."
INT-AC-00070,City Panorama Cable Car,Lisbon,Portugal,"18 Sky Lounge, Bairro Alto, Lisbon, Portugal",Relaxation,Soulful; Coastal; Affordable,Spring; Summer; Autumn,65,4.9,Solo,4 hrs,"Ride historic gondolas to the city's highest viewpoint, with optional guided commentary and a café terrace at the summit."
INT-AC-00071,Morning Yoga & Meditation,Prague,Czech Republic,"130 Spa Quarter, Žižkov, Prague, Czech Republic",Relaxation,Fairy-tale; Beer culture; Gothic,Spring; Summer,45,4.6,Solo,5 hrs,"A highly rated local experience offering an authentic taste of the destination's culture, cuisine, and character."
INT-AC-00072,Thermal Baths & Spa,Maldives,Maldives,"142 Spa Quarter, North Malé Atoll, Maldives, Maldives",Relaxation,Luxury; Tropical; Remote,Spring; Winter,65,4.7,Couple,4 hrs,"A highly rated local experience offering an authentic taste of the destination's culture, cuisine, and character."
INT-AC-00073,Zurich Food Tour,Zurich,Switzerland,"158 Street Food Alley, Niederdorf, Zurich, Switzerland",Food,Clean; Alpine; Upscale,Summer; Autumn,60,4.2,Solo,3 hrs,"A highly rated local experience offering an authentic taste of the destination's culture, cuisine, and character."
INT-AC-00074,Los Angeles Cooking Class,Los Angeles,USA,"54 Night Bazaar, Venice, Los Angeles, USA",Food,Sunny; Creative; Beach,Spring; Summer; Autumn,150,4.3,Group,3 hrs,"A highly rated local experience offering an authentic taste of the destination's culture, cuisine, and character."
INT-AC-00075,Street Food Night Walk Toronto,Toronto,Canada,"114 Harbour Kitchen, Distillery District, Toronto, Canada",Food,Multicultural; Friendly; Urban,Summer; Autumn,60,4.8,Solo,3 hrs,"A highly rated local experience offering an authentic taste of the destination's culture, cuisine, and character."
INT-AC-00076,Sushi Making Workshop,Tokyo,Japan,"169 Street Food Alley, Shibuya, Tokyo, Japan",Food,Bustling; Modern; Traditional,Spring; Autumn,145,4.2,Couple,4 hrs,"Hands-on session teaching rice preparation, fish selection, and rolling technique — finish by eating your creations with sake pairings."
INT-AC-00077,Wine & Cheese Tasting,Paris,France,"173 Street Food Alley, Champs-Élysées, Paris, France",Food,Romantic; Artistic; Chic,Spring; Summer; Autumn,70,4.3,Group,2 hrs,"Curated tasting of local and imported wines paired with artisan cheeses, hosted in a cellar setting with a certified sommelier."
INT-AC-00078,Local Market Food Experience,Brisbane,Australia,"12 Market Lane, South Bank, Brisbane, Australia",Food,Outdoorsy; Relaxed; Sunny,Spring; Autumn; Winter,50,4.2,Solo,2 hrs,"Navigate a vibrant local produce market with a chef guide, sampling seasonal specialities and learning the stories behind each ingredient."
INT-AC-00079,Craft Beer & Brewery Tour,Berlin,Germany,"162 Harbour Kitchen, Prenzlauer Berg, Berlin, Germany",Food,Edgy; Creative; Historic,Spring; Summer,70,5.0,Group,3 hrs,"A highly rated local experience offering an authentic taste of the destination's culture, cuisine, and character."
INT-AC-00080,Farm-to-Table Dinner Experience,Dubai,UAE,"63 Harbour Kitchen, Jumeirah, Dubai, UAE",Food,Luxurious; Futuristic; Vibrant,Spring; Winter,165,4.2,Group,3 hrs,"A highly rated local experience offering an authentic taste of the destination's culture, cuisine, and character."
INT-AC-00081,Singapore History Walking Tour,Singapore,Singapore,"57 Cultural Precinct, Marina Bay, Singapore, Singapore",Culture,Modern; Multicultural; Clean,Spring; Summer; Autumn; Winter,45,4.7,Solo,2 hrs,"A highly rated local experience offering an authentic taste of the destination's culture, cuisine, and character."
INT-AC-00082,Museum Skip-the-Line Tour,London,UK,"32 Museum District, Shoreditch, London, UK",Culture,Historic; Cosmopolitan; Eclectic,Spring; Summer,50,4.8,Couple,2 hrs,"Fast-track entry and an in-depth guided tour of the city's premier museum, covering highlights and hidden gems in under three hours."
INT-AC-00083,New York Art Gallery Visit,New York,USA,"157 Cultural Precinct, SoHo, New York, USA",Culture,Fast-paced; Iconic; Diverse,Spring; Autumn,55,4.1,Couple,3 hrs,"A highly rated local experience offering an authentic taste of the destination's culture, cuisine, and character."
INT-AC-00084,Ancient Temple Morning Walk,Sydney,Australia,"116 Cultural Precinct, Circular Quay, Sydney, Australia",Culture,Beach; Outdoorsy; Vibrant,Spring; Summer; Autumn,60,4.4,Group,2 hrs,"Early-morning visit to a UNESCO-listed temple complex at sunrise, experiencing rituals and peaceful courtyards before tourist crowds arrive."
INT-AC-00085,Old Town Architecture Tour,Bangkok,Thailand,"71 Museum District, Old City, Bangkok, Thailand",Culture,Lively; Spiritual; Street food,Spring; Winter,55,4.8,Couple,3 hrs,A 90-minute walking tour tracing the city's architectural evolution from medieval lanes to baroque facades and modernist interventions.
INT-AC-00086,Cultural Dance Show,Barcelona,Spain,"86 Old Town, Barceloneta, Barcelona, Spain",Culture,Artistic; Beach; Festive,Spring; Summer,110,4.1,Group,2 hrs,"An evening performance showcasing traditional folk dances, live music, and costume, followed by a meet-the-artists session backstage."
INT-AC-00087,Traditional Craft Workshop,Rome,Italy,"60 Museum District, Trastevere, Rome, Italy",Culture,Historic; Romantic; Culinary,Spring; Autumn,105,4.9,Group,2 hrs,"A two-hour hands-on session learning a regional craft — ceramics, weaving, or bookbinding — guided by a master artisan."
INT-AC-00088,Photography City Tour,Amsterdam,Netherlands,"105 Cultural Precinct, De Pijp, Amsterdam, Netherlands",Culture,Liberal; Charming; Cycling-friendly,Spring; Summer,75,4.7,Solo,2 hrs,"A guided photo walk through the city's most photogenic corners, with tips on composition, light, and storytelling from a professional photographer."
INT-AC-00089,Street Art & Graffiti Tour,Seoul,South Korea,"108 Museum District, Insadong, Seoul, South Korea",Culture,Trendy; K-pop; Foodie,Spring; Autumn,55,4.5,Solo,2 hrs,"A highly rated local experience offering an authentic taste of the destination's culture, cuisine, and character."
INT-AC-00090,Local Neighbourhood Walk,Bali,Indonesia,"2 Cultural Precinct, Seminyak, Bali, Indonesia",Culture,Spiritual; Tropical; Bohemian,Spring; Summer; Autumn,50,4.9,Solo,3 hrs,"A highly rated local experience offering an authentic taste of the destination's culture, cuisine, and character."
INT-AC-00091,Cape Town Bike Tour,Cape Town,South Africa,"125 Wharf, Gardens, Cape Town, South Africa",Adventure,Scenic; Adventurous; Diverse,Summer; Autumn,60,4.3,Group,6 hrs,"A highly rated local experience offering an authentic taste of the destination's culture, cuisine, and character."
INT-AC-00092,River Kayaking Experience,Kyoto,Japan,"87 Outdoor Centre, Fushimi, Kyoto, Japan",Adventure,Serene; Traditional; Cultural,Spring; Autumn,100,4.3,Solo,3 hrs,"Paddle through scenic river gorges with an experienced instructor — safety gear, refreshments, and transport included."
INT-AC-00093,Sunset Sailing Cruise,Vienna,Austria,"33 Outdoor Centre, Innere Stadt, Vienna, Austria",Adventure,Imperial; Musical; Café culture,Spring; Summer,165,4.7,Group,4 hrs,"A two-hour sunset cruise aboard a traditional sailing vessel, with canapés, local wine, and panoramic views of the city skyline."
INT-AC-00094,Jungle Trekking Adventure,Istanbul,Turkey,"165 Adventure Hub, Beyoğlu, Istanbul, Turkey",Adventure,Historic; Exotic; East-meets-West,Spring; Autumn,140,4.5,Solo,3 hrs,"Half-day guided trek through primary rainforest, spotting endemic wildlife and crossing rope bridges, concluding with a riverside picnic."
INT-AC-00095,Desert Safari Experience,Lisbon,Portugal,"67 Adventure Hub, Belém, Lisbon, Portugal",Adventure,Soulful; Coastal; Affordable,Spring; Summer; Autumn,255,4.1,Couple,4 hrs,"Dune-bashing by 4WD followed by a Bedouin-style camp dinner under the stars, with camel rides, henna, and live music included."
INT-AC-00096,Rock Climbing Prague,Prague,Czech Republic,"195 National Park Gate, Old Town, Prague, Czech Republic",Adventure,Fairy-tale; Beer culture; Gothic,Spring; Summer,105,4.3,Group,5 hrs,"A highly rated local experience offering an authentic taste of the destination's culture, cuisine, and character."
