trip_id,trip_name,city,country,vibe,best_season,total_days,hotel_id,hotel_name,hotel_stars,hotel_room_type,hotel_price_per_night_aud,day_number,day_slot,activity_id,activity_name,activity_category,activity_address,activity_duration_hours,activity_price_aud,activity_rating,suitable_for,description
INT-TP-00001,The Best of Tokyo in 11 Days,Tokyo,Japan,Bustling; Modern; Traditional,Spring; Autumn,11,INT-HT-00076,Comfort Inn Tokyo,3,Standard,110,4,Afternoon,INT-AC-00201,Sunset Sailing Cruise,Adventure,"16 Adventure Hub, Shinjuku, Tokyo, Japan",6 hrs,85,4.7,Group,"A two-hour sunset cruise aboard a traditional sailing vessel, with canapés, local wine, and panoramic views of the city skyline."
INT-TP-00001,The Best of Tokyo in 11 Days,Tokyo,Japan,Bustling; Modern; Traditional,Spring; Autumn,11,INT-HT-00076,Comfort Inn Tokyo,3,Standard,110,4,Evening,INT-AC-00251,Morning Yoga & Meditation,Relaxation,"170 Wellness Centre, Asakusa, Tokyo, Japan",3 hrs,35,4.2,Couple,"A highly rated local experience offering an authentic taste of the destination's culture, cuisine, and character."
INT-TP-00001,The Best of Tokyo in 11 Days,Tokyo,Japan,Bustling; Modern; Traditional,Spring; Autumn,11,INT-HT-00076,Comfort Inn Tokyo,3,Standard,110,5,Morning,INT-AC-00201,Sunset Sailing Cruise,Adventure,"16 Adventure Hub, Shinjuku, Tokyo, Japan",6 hrs,85,4.7,Group,"A two-hour sunset cruise aboard a traditional sailing vessel, with canapés, local wine, and panoramic views of the city skyline."
INT-TP-00001,The Best of Tokyo in 11 Days,Tokyo,Japan,Bustling; Modern; Traditional,Spring; Autumn,11,INT-HT-00076,Comfort Inn Tokyo,3,Standard,110,5,Afternoon,INT-AC-00026,Hot Air Balloon Ride,Adventure,"68 Wharf, Asakusa, Tokyo, Japan",6 hrs,385,4.8,Couple,"Float over the city at dawn in a private basket, watching the landscape emerge in golden light with a champagne breakfast on landing."
INT-TP-00001,The Best of Tokyo in 11 Days,Tokyo,Japan,Bustling; Modern; Traditional,Spring; Autumn,11,INT-HT-00076,Comfort Inn Tokyo,3,Standard,110,5,Evening,INT-AC-00126,Local Neighbourhood Walk,Culture,"39 Museum District, Shinjuku, Tokyo, Japan",2 hrs,30,4.4,Solo,"A highly rated local experience offering an authentic taste of the destination's culture, cuisine, and character."
INT-TP-00001,The Best of Tokyo in 11 Days,Tokyo,Japan,Bustling; Modern; Traditional,Spring; Autumn,11,INT-HT-00076,Comfort Inn Tokyo,3,Standard,110,6,Morning,INT-AC-00201,Sunset Sailing Cruise,Adventure,"16 Adventure Hub, Shinjuku, Tokyo, Japan",6 hrs,85,4.7,Group,"A two-hour sunset cruise aboard a traditional sailing vessel, with canapés, local wine, and panoramic views of the city skyline."
INT-TP-00001,The Best of Tokyo in 11 Days,Tokyo,Japan,Bustling; Modern; Traditional,Spring; Autumn,11,INT-HT-00076,Comfort Inn Tokyo,3,Standard,110,6,Afternoon,INT-AC-00026,Hot Air Balloon Ride,Adventure,"68 Wharf, Asakusa, Tokyo, Japan",6 hrs,385,4.8,Couple,"Float over the city at dawn in a private basket, watching the landscape emerge in golden light with a champagne breakfast on landing."
INT-TP-00001,The Best of Tokyo in 11 Days,Tokyo,Japan,Bustling; Modern; Traditional,Spring; Autumn,11,INT-HT-00076,Comfort Inn Tokyo,3,Standard,110,6,Evening,INT-AC-00301,Old Town Architecture Tour,Culture,"111 Museum District, Shibuya, Tokyo, Japan",2 hrs,85,4.5,Group,A 90-minute walking tour tracing the city's architectural evolution from medieval lanes to baroque facades and modernist interventions.
INT-TP-00001,The Best of Tokyo in 11 Days,Tokyo,Japan,Bustling; Modern; Traditional,Spring; Autumn,11,INT-HT-00076,Comfort Inn Tokyo,3,Standard,110,7,Morning,INT-AC-00001,Tokyo Food Tour,Food,"36 Street Food Alley, Shibuya, Tokyo, Japan",2 hrs,60,4.0,Couple,"Explore Tokyo's bustling neighbourhood markets and laneway eateries, sampling ramen, takoyaki, and seasonal street bites guided by a local food expert."
INT-TP-00001,The Best of Tokyo in 11 Days,Tokyo,Japan,Bustling; Modern; Traditional,Spring; Autumn,11,INT-HT-00076,Comfort Inn Tokyo,3,Standard,110,7,Afternoon,INT-AC-00201,Sunset Sailing Cruise,Adventure,"16 Adventure Hub, Shinjuku, Tokyo, Japan",6 hrs,85,4.7,Group,"A two-hour sunset cruise aboard a traditional sailing vessel, with canapés, local wine, and panoramic views of the city skyline."
INT-TP-00001,The Best of Tokyo in 11 Days,Tokyo,Japan,Bustling; Modern; Traditional,Spring; Autumn,11,INT-HT-00076,Comfort Inn Tokyo,3,Standard,110,7,Evening,INT-AC-00076,Sushi Making Workshop,Food,"169 Street Food Alley, Shibuya, Tokyo, Japan",4 hrs,145,4.2,Couple,"Hands-on session teaching rice preparation, fish selection, and rolling technique — finish by eating your creations with sake pairings."
INT-TP-00001,The Best of Tokyo in 11 Days,Tokyo,Japan,Bustling; Modern; Traditional,Spring; Autumn,11,INT-HT-00076,Comfort Inn Tokyo,3,Standard,110,8,Morning,INT-AC-00201,Sunset Sailing Cruise,Adventure,"16 Adventure Hub, Shinjuku, Tokyo, Japan",6 hrs,85,4.7,Group,"A two-hour sunset cruise aboard a traditional sailing vessel, with canapés, local wine, and panoramic views of the city skyline."
INT-TP-00001,The Best of Tokyo in 11 Days,Tokyo,Japan,Bustling; Modern; Traditional,Spring; Autumn,11,INT-HT-00076,Comfort Inn Tokyo,3,Standard,110,8,Afternoon,INT-AC-00276,Rock Climbing Tokyo,Adventure,"80 National Park Gate, Shinjuku, Tokyo, Japan",3 hrs,80,4.0,Solo,"A highly rated local experience offering an authentic taste of the destination's culture, cuisine, and character."
INT-TP-00001,The Best of Tokyo in 11 Days,Tokyo,Japan,Bustling; Modern; Traditional,Spring; Autumn,11,INT-HT-00076,Comfort Inn Tokyo,3,Standard,110,8,Evening,INT-AC-00001,Tokyo Food Tour,Food,"36 Street Food Alley, Shibuya, Tokyo, Japan",2 hrs,60,4.0,Couple,"Explore Tokyo's bustling neighbourhood markets and laneway eateries, sampling ramen, takoyaki, and seasonal street bites guided by a local food expert."
INT-TP-00001,The Best of Tokyo in 11 Days,Tokyo,Japan,Bustling; Modern; Traditional,Spring; Autumn,11,INT-HT-00076,Comfort Inn Tokyo,3,Standard,110,9,Morning,INT-AC-00301,Old Town Architecture Tour,Culture,"111 Museum District, Shibuya, Tokyo, Japan",2 hrs,85,4.5,Group,A 90-minute walking tour tracing the city's architectural evolution from medieval lanes to baroque facades and modernist interventions.
INT-TP-00001,The Best of Tokyo in 11 Days,Tokyo,Japan,Bustling; Modern; Traditional,Spring; Autumn,11,INT-HT-00076,Comfort Inn Tokyo,3,Standard,110,9,Afternoon,INT-AC-00351,Zip Line Forest Canopy,Adventure,"166 Outdoor Centre, Shinjuku, Tokyo, Japan",4 hrs,90,4.8,Solo,"Fly through the forest canopy on a multi-line zip circuit up to 200 m long, with safety briefing, harness fitting, and photos included."
INT-TP-00001,The Best of Tokyo in 11 Days,Tokyo,Japan,Bustling; Modern; Traditional,Spring; Autumn,11,INT-HT-00076,Comfort Inn Tokyo,3,Standard,110,9,Evening,INT-AC-00151,Craft Beer & Brewery Tour,Food,"131 Night Bazaar, Shibuya, Tokyo, Japan",3 hrs,85,4.9,Group,"A highly rated local experience offering an authentic taste of the destination's culture, cuisine, and character."
INT-TP-00001,The Best of Tokyo in 11 Days,Tokyo,Japan,Bustling; Modern; Traditional,Spring; Autumn,11,INT-HT-00076,Comfort Inn Tokyo,3,Standard,110,10,Morning,INT-AC-00151,Craft Beer & Brewery Tour,Food,"131 Night Bazaar, Shibuya, Tokyo, Japan",3 hrs,85,4.9,Group,"A highly rated local experience offering an authentic taste of the destination's culture, cuisine, and character."
INT-TP-00001,The Best of Tokyo in 11 Days,Tokyo,Japan,Bustling; Modern; Traditional,Spring; Autumn,11,INT-HT-00076,Comfort Inn Tokyo,3,Standard,110,10,Afternoon,INT-AC-00101,Coastal Cliff Walk,Adventure,"197 National Park Gate, Asakusa, Tokyo, Japan",6 hrs,35,4.6,Solo,"A highly rated local experience offering an authentic taste of the destination's culture, cuisine, and character."
INT-TP-00001,The Best of Tokyo in 11 Days,Tokyo,Japan,Bustling; Modern; Traditional,Spring; Autumn,11,INT-HT-00076,Comfort Inn Tokyo,3,Standard,110,10,Evening,INT-AC-00001,Tokyo Food Tour,Food,"36 Street Food Alley, Shibuya, Tokyo, Japan",2 hrs,60,4.0,Couple,"Explore Tokyo's bustling neighbourhood markets and laneway eateries, sampling ramen, takoyaki, and seasonal street bites guided by a local food expert."
INT-TP-00001,The Best of Tokyo in 11 Days,Tokyo,Japan,Bustling; Modern; Traditional,Spring; Autumn,11,INT-HT-00076,Comfort Inn Tokyo,3,Standard,110,11,Morning,INT-AC-00276,Rock Climbing Tokyo,Adventure,"80 National Park Gate, Shinjuku, Tokyo, Japan",3 hrs,80,4.0,Solo,"A highly rated local experience offering an authentic taste of the destination's culture, cuisine, and character."
INT-TP-00001,The Best of Tokyo in 11 Days,Tokyo,Japan,Bustling; Modern; Traditional,Spring; Autumn,11,INT-HT-00076,Comfort Inn Tokyo,3,Standard,110,11,Afternoon,INT-AC-00026,Hot Air Balloon Ride,Adventure,"68 Wharf, Asakusa, Tokyo, Japan",6 hrs,385,4.8,Couple,"Float over the city at dawn in a private basket, watching the landscape emerge in golden light with a champagne breakfast on landing."
INT-TP-00001,The Best of Tokyo in 11 Days,Tokyo,Japan,Bustling; Modern; Traditional,Spring; Autumn,11,INT-HT-00076,Comfort Inn Tokyo,3,Standard,110,11,Evening,INT-AC-00001,Tokyo Food Tour,Food,"36 Street Food Alley, Shibuya, Tokyo, Japan",2 hrs,60,4.0,Couple,"Explore Tokyo's bustling neighbourhood markets and laneway eateries, sampling ramen, takoyaki, and seasonal street bites guided by a local food expert."
INT-TP-00002,Cultural Immersion: 9 Days in Paris,Paris,France,Romantic; Artistic; Chic,Spring; Summer; Autumn,9,INT-HT-00052,Holiday Inn Paris,3,Standard,120,1,Morning,INT-AC-00002,Paris Cooking Class,Food,"9 Harbour Kitchen, Champs-Élysées, Paris, France",4 hrs,175,4.1,Group,"Master classic French techniques in a professional kitchen near Le Marais, crafting croissants, sauces, and a three-course dinner under expert tutelage."
INT-TP-00002,Cultural Immersion: 9 Days in Paris,Paris,France,Romantic; Artistic; Chic,Spring; Summer; Autumn,9,INT-HT-00052,Holiday Inn Paris,3,Standard,120,1,Afternoon,INT-AC-00052,Photography City Tour,Culture,"28 Heritage Square, Le Marais, Paris, France",3 hrs,55,4.9,Solo,"A guided photo walk through the city's most photogenic corners, with tips on composition, light, and storytelling from a professional photographer."
INT-TP-00002,Cultural Immersion: 9 Days in Paris,Paris,France,Romantic; Artistic; Chic,Spring; Summer; Autumn,9,INT-HT-00052,Holiday Inn Paris,3,Standard,120,1,Evening,INT-AC-00227,Paris Art Gallery Visit,Culture,"190 Cultural Precinct, Champs-Élysées, Paris, France",2 hrs,40,4.5,Couple,"A highly rated local experience offering an authentic taste of the destination's culture, cuisine, and character."
INT-TP-00002,Cultural Immersion: 9 Days in Paris,Paris,France,Romantic; Artistic; Chic,Spring; Summer; Autumn,9,INT-HT-00052,Holiday Inn Paris,3,Standard,120,2,Morning,INT-AC-00277,Scuba Diving Lesson,Adventure,"193 Adventure Hub, Le Marais, Paris, France",5 hrs,155,4.4,Solo,"PADI-certified introductory dive in crystal-clear coastal waters, covering basic techniques in a confined pool before an open-water experience."
INT-TP-00002,Cultural Immersion: 9 Days in Paris,Paris,France,Romantic; Artistic; Chic,Spring; Summer; Autumn,9,INT-HT-00052,Holiday Inn Paris,3,Standard,120,2,Afternoon,INT-AC-00102,Night Kayaking Tour,Adventure,"28 National Park Gate, Montmartre, Paris, France",4 hrs,120,4.2,Group,"A highly rated local experience offering an authentic taste of the destination's culture, cuisine, and character."
INT-TP-00002,Cultural Immersion: 9 Days in Paris,Paris,France,Romantic; Artistic; Chic,Spring; Summer; Autumn,9,INT-HT-00052,Holiday Inn Paris,3,Standard,120,3,Morning,INT-AC-00327,Street Food Night Walk Paris,Food,"95 Market Lane, Montmartre, Paris, France",3 hrs,65,4.5,Solo,"A highly rated local experience offering an authentic taste of the destination's culture, cuisine, and character."
INT-TP-00002,Cultural Immersion: 9 Days in Paris,Paris,France,Romantic; Artistic; Chic,Spring; Summer; Autumn,9,INT-HT-00052,Holiday Inn Paris,3,Standard,120,3,Afternoon,INT-AC-00127,Paris Bike Tour,Adventure,"143 Adventure Hub, Le Marais, Paris, France",4 hrs,75,4.9,Solo,"A highly rated local experience offering an authentic taste of the destination's culture, cuisine, and character."
INT-TP-00002,Cultural Immersion: 9 Days in Paris,Paris,France,Romantic; Artistic; Chic,Spring; Summer; Autumn,9,INT-HT-00052,Holiday Inn Paris,3,Standard,120,3,Evening,INT-AC-00252,Thermal Baths & Spa,Relaxation,"40 Sky Lounge, Montmartre, Paris, France",3 hrs,65,4.9,Group,"A highly rated local experience offering an authentic taste of the destination's culture, cuisine, and character."
INT-TP-00002,Cultural Immersion: 9 Days in Paris,Paris,France,Romantic; Artistic; Chic,Spring; Summer; Autumn,9,INT-HT-00052,Holiday Inn Paris,3,Standard,120,4,Morning,INT-AC-00202,Jungle Trekking Adventure,Adventure,"183 Outdoor Centre, Le Marais, Paris, France",3 hrs,120,4.8,Solo,"Half-day guided trek through primary rainforest, spotting endemic wildlife and crossing rope bridges, concluding with a riverside picnic."
INT-TP-00002,Cultural Immersion: 9 Days in Paris,Paris,France,Romantic; Artistic; Chic,Spring; Summer; Autumn,9,INT-HT-00052,Holiday Inn Paris,3,Standard,120,4,Afternoon,INT-AC-00302,Cultural Dance Show,Culture,"78 Museum District, Champs-Élysées, Paris, France",2 hrs,120,4.9,Couple,"An evening performance showcasing traditional folk dances, live music, and costume, followed by a meet-the-artists session backstage."
INT-TP-00002,Cultural Immersion: 9 Days in Paris,Paris,France,Romantic; Artistic; Chic,Spring; Summer; Autumn,9,INT-HT-00052,Holiday Inn Paris,3,Standard,120,4,Evening,INT-AC-00077,Wine & Cheese Tasting,Food,"173 Street Food Alley, Champs-Élysées, Paris, France",2 hrs,70,4.3,Group,"Curated tasting of local and imported wines paired with artisan cheeses, hosted in a cellar setting with a certified sommelier."
INT-TP-00002,Cultural Immersion: 9 Days in Paris,Paris,France,Romantic; Artistic; Chic,Spring; Summer; Autumn,9,INT-HT-00052,Holiday Inn Paris,3,Standard,120,5,Morning,INT-AC-00352,Stand-Up Paddleboard Tour,Adventure,"146 National Park Gate, Le Marais, Paris, France",5 hrs,60,4.7,Solo,"Guided SUP tour along calm coastal or river waterways, exploring hidden coves and sea caves only accessible from the water."
INT-TP-00002,Cultural Immersion: 9 Days in Paris,Paris,France,Romantic; Artistic; Chic,Spring; Summer; Autumn,9,INT-HT-00052,Holiday Inn Paris,3,Standard,120,5,Afternoon,INT-AC-00227,Paris Art Gallery Visit,Culture,"190 Cultural Precinct, Champs-Élysées, Paris, France",2 hrs,40,4.5,Couple,"A highly rated local experience offering an authentic taste of the destination's culture, cuisine, and character."
INT-TP-00002,Cultural Immersion: 9 Days in Paris,Paris,France,Romantic; Artistic; Chic,Spring; Summer; Autumn,9,INT-HT-00052,Holiday Inn Paris,3,Standard,120,5,Evening,INT-AC-00077,Wine & Cheese Tasting,Food,"173 Street Food Alley, Champs-Élysées, Paris, France",2 hrs,70,4.3,Group,"Curated tasting of local and imported wines paired with artisan cheeses, hosted in a cellar setting with a certified sommelier."
INT-TP-00002,Cultural Immersion: 9 Days in Paris,Paris,France,Romantic; Artistic; Chic,Spring; Summer; Autumn,9,INT-HT-00052,Holiday Inn Paris,3,Standard,120,6,Morning,INT-AC-00127,Paris Bike Tour,Adventure,"143 Adventure Hub, Le Marais, Paris, France",4 hrs,75,4.9,Solo,"A highly rated local experience offering an authentic taste of the destination's culture, cuisine, and character."
INT-TP-00002,Cultural Immersion: 9 Days in Paris,Paris,France,Romantic; Artistic; Chic,Spring; Summer; Autumn,9,INT-HT-00052,Holiday Inn Paris,3,Standard,120,6,Afternoon,INT-AC-00027,Zip Line Forest Canopy,Adventure,"172 Outdoor Centre, Montmartre, Paris, France",5 hrs,120,5.0,Group,"Fly through the forest canopy on a multi-line zip circuit up to 200 m long, with safety briefing, harness fitting, and photos included."
INT-TP-00002,Cultural Immersion: 9 Days in Paris,Paris,France,Romantic; Artistic; Chic,Spring; Summer; Autumn,9,INT-HT-00052,Holiday Inn Paris,3,Standard,120,6,Evening,INT-AC-00077,Wine & Cheese Tasting,Food,"173 Street Food Alley, Champs-Élysées, Paris, France",2 hrs,70,4.3,Group,"Curated tasting of local and imported wines paired with artisan cheeses, hosted in a cellar setting with a certified sommelier."
INT-TP-00002,Cultural Immersion: 9 Days in Paris,Paris,France,Romantic; Artistic; Chic,Spring; Summer; Autumn,9,INT-HT-00052,Holiday Inn Paris,3,Standard,120,7,Morning,INT-AC-00152,Farm-to-Table Dinner Experience,Food,"117 Street Food Alley, Champs-Élysées, Paris, France",3 hrs,180,4.3,Group,"A highly rated local experience offering an authentic taste of the destination's culture, cuisine, and character."
INT-TP-00002,Cultural Immersion: 9 Days in Paris,Paris,France,Romantic; Artistic; Chic,Spring; Summer; Autumn,9,INT-HT-00052,Holiday Inn Paris,3,Standard,120,7,Afternoon,INT-AC-00227,Paris Art Gallery Visit,Culture,"190 Cultural Precinct, Champs-Élysées, Paris, France",2 hrs,40,4.5,Couple,"A highly rated local experience offering an authentic taste of the destination's culture, cuisine, and character."
INT-TP-00002,Cultural Immersion: 9 Days in Paris,Paris,France,Romantic; Artistic; Chic,Spring; Summer; Autumn,9,INT-HT-00052,Holiday Inn Paris,3,Standard,120,7,Evening,INT-AC-00077,Wine & Cheese Tasting,Food,"173 Street Food Alley, Champs-Élysées, Paris, France",2 hrs,70,4.3,Group,"Curated tasting of local and imported wines paired with artisan cheeses, hosted in a cellar setting with a certified sommelier."
INT-TP-00002,Cultural Immersion: 9 Days in Paris,Paris,France,Romantic; Artistic; Chic,Spring; Summer; Autumn,9,INT-HT-00052,Holiday Inn Paris,3,Standard,120,8,Morning,INT-AC-00077,Wine & Cheese Tasting,Food,"173 Street Food Alley, Champs-Élysées, Paris, France",2 hrs,70,4.3,Group,"Curated tasting of local and imported wines paired with artisan cheeses, hosted in a cellar setting with a certified sommelier."
INT-TP-00002,Cultural Immersion: 9 Days in Paris,Paris,France,Romantic; Artistic; Chic,Spring; Summer; Autumn,9,INT-HT-00052,Holiday Inn Paris,3,Standard,120,8,Afternoon,INT-AC-00002,Paris Cooking Class,Food,"9 Harbour Kitchen, Champs-Élysées, Paris, France",4 hrs,175,4.1,Group,"Master classic French techniques in a professional kitchen near Le Marais, crafting croissants, sauces, and a three-course dinner under expert tutelage."
INT-TP-00002,Cultural Immersion: 9 Days in Paris,Paris,France,Romantic; Artistic; Chic,Spring; Summer; Autumn,9,INT-HT-00052,Holiday Inn Paris,3,Standard,120,8,Evening,INT-AC-00002,Paris Cooking Class,Food,"9 Harbour Kitchen, Champs-Élysées, Paris, France",4 hrs,175,4.1,Group,"Master classic French techniques in a professional kitchen near Le Marais, crafting croissants, sauces, and a three-course dinner under expert tutelage."
INT-TP-00002,Cultural Immersion: 9 Days in Paris,Paris,France,Romantic; Artistic; Chic,Spring; Summer; Autumn,9,INT-HT-00052,Holiday Inn Paris,3,Standard,120,9,Morning,INT-AC-00202,Jungle Trekking Adventure,Adventure,"183 Outdoor Centre, Le Marais, Paris, France",3 hrs,120,4.8,Solo,"Half-day guided trek through primary rainforest, spotting endemic wildlife and crossing rope bridges, concluding with a riverside picnic."
INT-TP-00002,Cultural Immersion: 9 Days in Paris,Paris,France,Romantic; Artistic; Chic,Spring; Summer; Autumn,9,INT-HT-00052,Holiday Inn Paris,3,Standard,120,9,Afternoon,INT-AC-00302,Cultural Dance Show,Culture,"78 Museum District, Champs-Élysées, Paris, France",2 hrs,120,4.9,Couple,"An evening performance showcasing traditional folk dances, live music, and costume, followed by a meet-the-artists session backstage."
INT-TP-00002,Cultural Immersion: 9 Days in Paris,Paris,France,Romantic; Artistic; Chic,Spring; Summer; Autumn,9,INT-HT-00052,Holiday Inn Paris,3,Standard,120,9,Evening,INT-AC-00327,Street Food Night Walk Paris,Food,"95 Market Lane, Montmartre, Paris, France",3 hrs,65,4.5,Solo,"A highly rated local experience offering an authentic taste of the destination's culture, cuisine, and character."
INT-TP-00003,Brisbane on a Budget: 9 Days,Brisbane,Australia,Outdoorsy; Relaxed; Sunny,Spring; Autumn; Winter,9,INT-HT-00103,Ritz-Carlton Brisbane,5,Suite,590,1,Morning,INT-AC-00078,Local Market Food Experience,Food,"12 Market Lane, South Bank, Brisbane, Australia",2 hrs,50,4.2,Solo,"Navigate a vibrant local produce market with a chef guide, sampling seasonal specialities and learning the stories behind each ingredient."
INT-TP-00003,Brisbane on a Budget: 9 Days,Brisbane,Australia,Outdoorsy; Relaxed; Sunny,Spring; Autumn; Winter,9,INT-HT-00103,Ritz-Carlton Brisbane,5,Suite,590,1,Afternoon,INT-AC-00253,Brisbane Food Tour,Food,"185 Street Food Alley, Fortitude Valley, Brisbane, Australia",4 hrs,65,4.2,Solo,"A highly rated local experience offering an authentic taste of the destination's culture, cuisine, and character."
INT-TP-00003,Brisbane on a Budget: 9 Days,Brisbane,Australia,Outdoorsy; Relaxed; Sunny,Spring; Autumn; Winter,9,INT-HT-00103,Ritz-Carlton Brisbane,5,Suite,590,1,Evening,INT-AC-00228,Ancient Temple Morning Walk,Culture,"148 Old Town, South Bank, Brisbane, Australia",2 hrs,30,4.4,Group,"Early-morning visit to a UNESCO-listed temple complex at sunrise, experiencing rituals and peaceful courtyards before tourist crowds arrive."
INT-TP-00003,Brisbane on a Budget: 9 Days,Brisbane,Australia,Outdoorsy; Relaxed; Sunny,Spring; Autumn; Winter,9,INT-HT-00103,Ritz-Carlton Brisbane,5,Suite,590,2,Morning,INT-AC-00128,River Kayaking Experience,Adventure,"114 Outdoor Centre, CBD, Brisbane, Australia",6 hrs,125,4.6,Group,"Paddle through scenic river gorges with an experienced instructor — safety gear, refreshments, and transport included."
INT-TP-00003,Brisbane on a Budget: 9 Days,Brisbane,Australia,Outdoorsy; Relaxed; Sunny,Spring; Autumn; Winter,9,INT-HT-00103,Ritz-Carlton Brisbane,5,Suite,590,2,Afternoon,INT-AC-00028,Stand-Up Paddleboard Tour,Adventure,"58 Wharf, Fortitude Valley, Brisbane, Australia",3 hrs,85,4.4,Couple,"Guided SUP tour along calm coastal or river waterways, exploring hidden coves and sea caves only accessible from the water."
INT-TP-00003,Brisbane on a Budget: 9 Days,Brisbane,Australia,Outdoorsy; Relaxed; Sunny,Spring; Autumn; Winter,9,INT-HT-00103,Ritz-Carlton Brisbane,5,Suite,590,3,Morning,INT-AC-00328,Sushi Making Workshop,Food,"186 Night Bazaar, Fortitude Valley, Brisbane, Australia",4 hrs,120,4.7,Couple,"Hands-on session teaching rice preparation, fish selection, and rolling technique — finish by eating your creations with sake pairings."
INT-TP-00003,Brisbane on a Budget: 9 Days,Brisbane,Australia,Outdoorsy; Relaxed; Sunny,Spring; Autumn; Winter,9,INT-HT-00103,Ritz-Carlton Brisbane,5,Suite,590,3,Afternoon,INT-AC-00278,Hot Air Balloon Ride,Adventure,"70 National Park Gate, CBD, Brisbane, Australia",3 hrs,415,4.2,Group,"Float over the city at dawn in a private basket, watching the landscape emerge in golden light with a champagne breakfast on landing."
